table_name,field_name,language,translation,field_value
stops,stop_name,nl,Bara,BARA
stops,stop_name,fr,Baron de Castro,BARON DE CASTRO
stops,stop_name,nl,Baron de Castro,BARON DE CASTRO
stops,stop_name,fr,Barrière,BARRIERE
stops,stop_name,nl,Bareel,BARRIERE
stops,stop_name,fr,Bascule,BASCULE
stops,stop_name,nl,Bascule,BASCULE
stops,stop_name,fr,Basilix,BASILIX
stops,stop_name,nl,Basilix,BASILIX
stops,stop_name,fr,Bastogne,BASTOGNE
stops,stop_name,nl,Bastenaken,BASTOGNE
stops,stop_name,fr,Beaulieu,BEAULIEU
stops,stop_name,nl,Beaulieu,BEAULIEU
stops,stop_name,fr,Beauté,BEAUTE
stops,stop_name,nl,Schoonheid,BEAUTE
stops,stop_name,fr,Beeckmans,BEECKMANS
stops,stop_name,nl,Beeckmans,BEECKMANS
stops,stop_name,fr,Beekkant,BEEKKANT
stops,stop_name,nl,Beekkant,BEEKKANT
stops,stop_name,fr,Beersellaan,BEERSELLAAN
stops,stop_name,nl,Beersellaan,BEERSELLAAN
stops,stop_name,fr,Bel-Air,BEL-AIR
stops,stop_name,nl,Schone Lucht,BEL-AIR
stops,stop_name,fr,Belgica,BELGICA
stops,stop_name,nl,Belgica,BELGICA
stops,stop_name,fr,Bempt,BEMPT
stops,stop_name,nl,Bempt,BEMPT
stops,stop_name,fr,Bénès,BENES
stops,stop_name,nl,Bénès,BENES
stops,stop_name,fr,Bens,BENS
stops,stop_name,nl,Bens,BENS
stops,stop_name,fr,Berchem-Shopping,BERCHEM-SHOPPING
stops,stop_name,nl,Berchem-Shopping,BERCHEM-SHOPPING
stops,stop_name,fr,Berensheide,BERENSHEIDE
stops,stop_name,nl,Berensheide,BERENSHEIDE
stops,stop_name,fr,Bergdal,BERGDAL
stops,stop_name,nl,Bergdal,BERGDAL
stops,stop_name,fr,Bergoje,BERGOJE
stops,stop_name,nl,Bergoje,BERGOJE
stops,stop_name,fr,Berkendael,BERKENDAEL
stops,stop_name,nl,Berkendaal,BERKENDAEL
stops,stop_name,fr,Berthelot,BERTHELOT
stops,stop_name,nl,Berthelot,BERTHELOT
stops,stop_name,fr,Bervoets,BERVOETS
stops,stop_name,nl,Bervoets,BERVOETS
stops,stop_name,fr,Besme,BESME
stops,stop_name,nl,Besme,BESME
stops,stop_name,fr,Bethléem,BETHLEEM
stops,stop_name,nl,Bethlehem,BETHLEEM
stops,stop_name,fr,Beyseghem,BEYSEGHEM
stops,stop_name,nl,Beizegem,BEYSEGHEM
stops,stop_name,fr,Biarritz,BIARRITZ
stops,stop_name,nl,Biarritz,BIARRITZ
stops,stop_name,fr,Bichon,BICHON
stops,stop_name,nl,Bichon,BICHON
stops,stop_name,fr,Bicoque,BICOQUE
stops,stop_name,nl,Bicoque,BICOQUE
stops,stop_name,fr,Biebuyck,BIEBUYCK
stops,stop_name,nl,Biebuyck,BIEBUYCK
stops,stop_name,fr,Bien-Faire,BIEN-FAIRE
stops,stop_name,nl,Bien-Faire,BIEN-FAIRE
stops,stop_name,fr,Bienfaiteurs,BIENFAITEURS
stops,stop_name,nl,Weldoeners,BIENFAITEURS
stops,stop_name,fr,Bigarreaux,BIGARREAUX
stops,stop_name,nl,Vleeskersen,BIGARREAUX
stops,stop_name,fr,Biplan,BIPLAN
stops,stop_name,nl,Tweedekker,BIPLAN
stops,stop_name,fr,Bizet,BIZET
stops,stop_name,nl,Bizet,BIZET
stops,stop_name,fr,Blokken,BLOKKEN
stops,stop_name,nl,Blokken,BLOKKEN
stops,stop_name,fr,Blyckaerts,BLYCKAERTS
stops,stop_name,nl,Blyckaerts,BLYCKAERTS
stops,stop_name,fr,Bockstael,BOCKSTAEL
stops,stop_name,nl,Bockstael,BOCKSTAEL
stops,stop_name,fr,Boetendael,BOETENDAEL
stops,stop_name,nl,Boetendael,BOETENDAEL
stops,stop_name,fr,Boileau,BOILEAU
