stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
2775,,"AVENUE DU ROI",,50.831684,4.333425,,,0,
2776,,"SCHEUT",,50.847192,4.308958,,,0,
2777,,"AVENUE DU ROI",,50.831139,4.333253,,,0,
2778,,"GARE DU MIDI",,50.836172,4.338154,,,0,
2779,,"SCHEUT",,50.847579,4.308958,,,0,
2780,,"GARE DU MIDI",,50.836542,4.339451,,,0,
2781,,"JACQUES BREL",,50.842467,4.317256,,,0,
2782,,"JACQUES BREL",,50.842725,4.317836,,,0,
2783,,"VETERANS COLON.",,50.843485,4.313586,,,0,
2784,,"VETERANS COLON.",,50.843544,4.313384,,,0,
2786F,,"GALLAIT",,50.865384,4.367758,,,0,
2788,,"GARE CENTRALE",,50.845464,4.357538,,,0,
2792B,,"EGLISE ST-SERVAIS",,50.864431,4.371778,,,0,
2801,,"CROCQ",,50.884911,4.329588,,,0,
2803,,"LORGE",,50.882851,4.330870,,,0,
2807,,"PRINCE LEOPOLD",,50.882580,4.341402,,,0,
2808,,"JACOBS FONTAINE",,50.878667,4.342494,,,0,
2809,,"KAREL BOGAERD",,50.881167,4.348134,,,0,
2810,,"ARTISTES",,50.881483,4.354458,,,0,
2811,,"SCHOLA EUROPEA",,50.885467,4.353311,,,0,
2813B,,"DE WAND",,50.895678,4.357282,,,0,
2814,,"PAGODES",,50.895835,4.362800,,,0,
2815B,,"LONG BONNIER",,50.895768,4.365589,,,0,
2816,,"VERSAILLES",,50.896235,4.372264,,,0,
2817,,"BEYSEGHEM",,50.896604,4.377040,,,0,
2819,,"KRUIPWEG",,50.894518,4.380869,,,0,
2822,,"VAL MARIA",,50.899542,4.385206,,,0,
2823B,,"FERME NOS PILIFS",,50.903830,4.386737,,,0,
2824,,"SERRES ROYALES",,50.889193,4.357137,,,0,
2827,,"FERME NOS PILIFS",,50.903020,4.386491,,,0,
2835,,"YSER",,50.857103,4.353201,,,0,
2840,,"MADELEINE",,50.843233,4.354355,,,0,
2842,,"TIRCHER",,50.892546,4.323333,,,0,
2845,,"GARE DE BERCHEM",,50.872317,4.289820,,,0,
2846,,"MARIE DEPAGE",,50.813945,4.356293,,,0,
2847,,"MARIE DEPAGE",,50.814475,4.356109,,,0,
2848F,,"MARGUERITE DURAS",,50.855491,4.346631,,,0,
2849,,"AUDREY HEPBURN",,50.889678,4.316768,,,0,
2850,,"AUDREY HEPBURN",,50.889877,4.315769,,,0,
2851F,,"MARGUERITE DURAS",,50.855619,4.346114,,,0,
2852,,"KRUIPWEG",,50.894800,4.380687,,,0,
2853,,"BEYSEGHEM",,50.896595,4.376599,,,0,
2854,,"VERSAILLES",,50.896271,4.371994,,,0,
2855,,"LONG BONNIER",,50.895813,4.363934,,,0,
2856B,,"PAGODES",,50.897377,4.358959,,,0,
2857C,,"DE WAND",,50.895129,4.357751,,,0,
2860,,"ARTISTES",,50.881564,4.354244,,,0,
2861,,"SCHOLA EUROPEA",,50.885348,4.353234,,,0,
2863,,"JACOBS FONTAINE",,50.878802,4.342708,,,0,
2864,,"GARE DE BERCHEM",,50.872448,4.290775,,,0,
2866,,"GARE DE BERCHEM",,50.872161,4.289982,,,0,
2867,,"HOPITAL BRUGMANN",,50.885793,4.332671,,,0,
2871,,"LORGE",,50.882386,4.331153,,,0,
2873,,"CROCQ",,50.884726,4.330214,,,0,
2874,,"HOPITAL BRUGMANN",,50.885793,4.332671,,,0,
2875,,"SERRES ROYALES",,50.888680,4.356059,,,0,
2876F,,"GALLAIT",,50.866633,4.368738,,,0,
2878F,,"MARIE-CHRISTINE",,50.873726,4.359447,,,0,
2879F,,"MARIE-CHRISTINE",,50.874022,4.359319,,,0,
2895,,"HAREN",,50.892834,4.421413,,,0,
2897,,"MAELBEEK",,50.844330,4.378052,,,0,
2898,,"VERBOEKHOVEN",,50.871074,4.376438,,,0,
2899,,"WITLOOF",,50.901122,4.422301,,,0,
2900,,"FONSON",,50.879033,4.403878,,,0,
2903,,"FONSON",,50.878826,4.403693,,,0,
2905,,"TWYENINCK",,50.896412,4.421346,,,0,
2908B,,"BIPLAN",,50.885733,4.410310,,,0,
2909,,"SAINT-VINCENT",,50.880816,4.403821,,,0,
2910,,"PAIX",,50.877097,4.401905,,,0,
2912,,"NOTRE-DAME",,50.871438,4.399979,,,0,
2915,,"JOSAPHAT",,50.861481,4.392464,,,0,
2918,,"DAILLY",,50.853309,4.388208,,,0,
2919,,"BRABANCONNE",,50.851647,4.387125,,,0,
2920,,"AMBIORIX",,50.847682,4.383747,,,0,
2924,,"OUD-KAPELLEKE",,50.874152,4.403007,,,0,
2925,,"MAELBEEK",,50.843737,4.378322,,,0,
2926,,"BICHON",,50.864482,4.394293,,,0,
2927,,"PARC LEOPOLD",,50.841059,4.378272,,,0,
2928,,"FERNAND COCQ",,50.833057,4.366481,,,0,
2929,,"VANNE",,50.829776,4.364338,,,0,
2931,,"TRINITE",,50.825002,4.357554,,,0,
2932,,"MA CAMPAGNE",,50.822575,4.354304,,,0,
2934A,,"ALBERT",,50.821665,4.341617,,,0,
2935,,"JUPITER",,50.819540,4.336742,,,0,
2936,,"TOURNOI",,50.816169,4.333783,,,0,
2937B,,"MYSTERE",,50.813742,4.330585,,,0,
2948,,"TRONE",,50.840674,4.364886,,,0,
2950,,"PRISON",,50.822511,4.346584,,,0,
2951,,"JUPITER",,50.819611,4.336954,,,0,
2953,,"FOREST NATIONAL",,50.810469,4.326216,,,0,
2954B,,"MYSTERE",,50.813771,4.330839,,,0,
2955,,"TOURNOI",,50.816360,4.333877,,,0,
2957A,,"ALBERT",,50.821413,4.341859,,,0,
2959,,"MA CAMPAGNE",,50.823006,4.353084,,,0,
2960,,"TRINITE",,50.824903,4.358596,,,0,
2962,,"VANNE",,50.829891,4.364010,,,0,
2963,,"FERNAND COCQ",,50.833219,4.366552,,,0,
2964B,,"QUART.ST-BONIFACE",,50.835413,4.363769,,,0,
2965,,"PRISON",,50.822673,4.347875,,,0,
2967B,,"PORTE DE NAMUR",,50.838171,4.361980,,,0,
2971,,"BAILLI",,50.827127,4.363428,,,0,
2972,,"BAILLI",,50.826857,4.362606,,,0,
2974,,"DAILLY",,50.853714,4.388478,,,0,
2977,,"JOSAPHAT",,50.862073,4.392530,,,0,
2980,,"NOTRE-DAME",,50.870872,4.400107,,,0,
2982B,,"PAIX",,50.876696,4.402225,,,0,
2986B,,"TWYENINCK",,50.896196,4.421147,,,0,
2987,,"CORTENBACH",,50.891847,4.418029,,,0,
2988,,"CORTENBACH",,50.892117,4.417902,,,0,
2990,,"BICHON",,50.864311,4.394179,,,0,
2991,,"WITLOOF",,50.901190,4.422883,,,0,
2992,,"SAINT-VINCENT",,50.880880,4.403855,,,0,
2995,,"OUD-KAPELLEKE",,50.874395,4.403505,,,0,
2996,,"CONSCIENCE",,50.869407,4.399921,,,0,
2997,,"CONSCIENCE",,50.867672,4.398627,,,0,
3005,,"TROIS PERTUIS",,50.892136,4.395871,,,0,
3007,,"BIEBUYCK",,50.887790,4.384372,,,0,
3008,,"AVANT-PORT",,50.885567,4.379059,,,0,
3009,,"BORNE",,50.855230,4.335619,,,0,
3014,,"RIVE GAUCHE",,50.890435,4.390484,,,0,
3017,,"BOURGET",,50.878150,4.430334,,,0,
3018,,"BOURGET",,50.878500,4.431073,,,0,
3042,,"MACHELEN",,50.912776,4.432925,,,0,
3046,,"CLEMENCE EVERARD",,50.817588,4.265310,,,0,
3047,,"CLEMENCEAU",,50.842425,4.331170,,,0,
3059,,"BIEBUYCK",,50.887865,4.384613,,,0,
3061,,"TROIS PERTUIS",,50.892025,4.395829,,,0,
3062,,"ROSA PARKS",,50.847297,4.361212,,,0,
3063,,"MARLY",,50.898460,4.401490,,,0,
3072,,"ROSA PARKS",,50.847396,4.361439,,,0,
3074,,"CLEMENCE EVERARD",,50.818299,4.266915,,,0,
3075,,"YSER",,50.857349,4.353526,,,0,
3078,,"CERIA",,50.816248,4.290578,,,0,
3080,,"MARIE-LOUISE",,50.845024,4.377555,,,0,
3081,,"MARIE-LOUISE",,50.845721,4.378078,,,0,
3082,,"ANDREE DE JONGH",,50.871010,4.348892,,,0,
3083,,"ANDREE DE JONGH",,50.870911,4.349332,,,0,
3084,,"AMELIE GOMAND",,50.876455,4.338461,,,0,
3085,,"AMELIE GOMAND",,50.876365,4.338162,,,0,
3086,,"MACHELENSTRAAT",,50.919289,4.425681,,,0,
3087,,"MACHELENSTRAAT",,50.918524,4.424595,,,0,
3098,,"ANATOLE FRANCE",,50.876776,4.385756,,,0,
3099,,"HUART-HAMOIR",,50.876467,4.383458,,,0,
3100,,"GUTENBERG",,50.849049,4.377769,,,0,
3101,,"SAINT-VINCENT",,50.880625,4.401861,,,0,
3102,,"PICARDIE",,50.879537,4.396015,,,0,
3103,,"CARLI",,50.879360,4.393349,,,0,
3104,,"CHAUMONTEL",,50.878452,4.389995,,,0,
3105,,"ZENOBE GRAMME",,50.879766,4.383871,,,0,
3106,,"SCHAERBEEK GARE",,50.877429,4.379182,,,0,
3107,,"SCHAERBEEK GARE",,50.877636,4.379054,,,0,
3109,,"EENENS",,50.867837,4.377148,,,0,
3111,,"HERMAN",,50.863073,4.377446,,,0,
3112,,"COTEAUX",,50.859172,4.377161,,,0,
3113,,"GEEFS",,50.857194,4.375683,,,0,
3114,,"BOSSUET",,50.853828,4.373548,,,0,
3117,,"PARC LEOPOLD",,50.839547,4.380607,,,0,
3118,,"BRAEMT",,50.851243,4.376463,,,0,
3120,,"NATATION",,50.833173,4.378264,,,0,
3121B,,"WERY",,50.829389,4.376161,,,0,
3122,,"FLAGEY",,50.828040,4.371704,,,0,
3123,,"LEVURE",,50.828658,4.376665,,,0,
3125,,"HOP. ETT.-IXELLES",,50.825056,4.380146,,,0,
3126B,,"VANDENHOVEN",,50.882329,4.407346,,,0,
3131,,"LEVURE",,50.827746,4.376628,,,0,
3135,,"FLAGEY",,50.826431,4.372295,,,0,
3150,,"PARC",,50.847560,4.363669,,,0,
3155,,"WERY",,50.829386,4.376211,,,0,
3156,,"NATATION",,50.833087,4.378271,,,0,
3158B,,"JOURDAN",,50.837920,4.381785,,,0,
3159,,"PARC LEOPOLD",,50.839700,4.380593,,,0,
3160,,"ETANGS",,50.836107,4.380853,,,0,
3162,,"HOUWAERT",,50.853203,4.373496,,,0,
3163,,"GEEFS",,50.856933,4.375584,,,0,
3164,,"COTEAUX",,50.859855,4.377757,,,0,
3165,,"HERMAN",,50.863361,4.377360,,,0,
3167,,"EENENS",,50.868215,4.377077,,,0,
3168,,"VERBOEKHOVEN",,50.870876,4.376126,,,0,
3171,,"ZENOBE GRAMME",,50.879820,4.384156,,,0,
3172,,"CHAUMONTEL",,50.878246,4.389711,,,0,
3173,,"CARLI",,50.879288,4.393676,,,0,
3174,,"PICARDIE",,50.879565,4.397072,,,0,
3175B,,"SAINT-VINCENT",,50.880598,4.402159,,,0,
3176,,"VANDENHOVEN",,50.882205,4.407163,,,0,
3177,,"SCHAERBEEK GARE",,50.877375,4.380191,,,0,
3180,,"HUART-HAMOIR",,50.875478,4.382875,,,0,
3183,,"PATRIE",,50.857129,4.390241,,,0,
3184,,"PATRIE",,50.856985,4.390113,,,0,
3185,,"CHAZAL",,50.860536,4.392046,,,0,
3186,,"CHAZAL",,50.859673,4.391520,,,0,
3188,,"GLOBE",,50.799885,4.336446,,,0,
3189,,"XAVIER DE BUE",,50.802727,4.336556,,,0,
3190,,"BENS",,50.806818,4.336758,,,0,
3191,,"XAVIER DE BUE",,50.803193,4.336665,,,0,
3192,,"BENS",,50.806798,4.336843,,,0,
3193,,"MAX WALLER",,50.805705,4.312942,,,0,
3194,,"SAINT-DENIS",,50.809427,4.313018,,,0,
3196,,"SAINT-DENIS",,50.809701,4.313231,,,0,
3199,,"AERODROME",,50.888347,4.425160,,,0,
3200,,"DIABLOTINS",,50.865434,4.421794,,,0,
3201,,"MAES",,50.886466,4.429606,,,0,
3207,,"JULES BORDET",,50.870623,4.418589,,,0,
3210B,,"ARTEMIS",,50.862308,4.416194,,,0,
3211,,"GARE DU MIDI",,50.836739,4.337080,,,0,
3216,,"PLASKY",,50.851141,4.395961,,,0,
3217,,"GUEUX",,50.847320,4.391116,,,0,
3218,,"MARGUERITE",,50.847096,4.387396,,,0,
3219,,"WATERLOO WILSON",,50.847808,4.381205,,,0,
3221,,"DANSAERT",,50.851241,4.344952,,,0,
3222,,"PORTE DE FLANDRE",,50.853020,4.341841,,,0,
3223B,,"PORTE DE NINOVE",,50.850536,4.338749,,,0,
3225,,"QUATRE-VENTS",,50.849177,4.325570,,,0,
3225F,,"QUATRE-VENTS",,50.849177,4.325570,,,0,
3226B,,"DUCHESSE BRABANT",,50.849529,4.329631,,,0,
3226F,,"DUCHESSE BRABANT",,50.849532,4.329607,,,0,
3228F,,"TRIANGLE",,50.849975,4.334359,,,0,
3229,,"EUGENE TOUSSAINT",,50.880576,4.321762,,,0,
3230,,"GARE DE L'OUEST",,50.848852,4.320969,,,0,
3230F,,"GARE DE L'OUEST",,50.848843,4.320969,,,0,
3231,,"JOSEPH BAECK",,50.852158,4.316237,,,0,
3232,,"DUBOIS",,50.851463,4.311353,,,0,
3233,,"TAMARIS",,50.851039,4.307562,,,0,
3234,,"MACHTENS",,50.851314,4.300802,,,0,
3235,,"CANDRIES",,50.855659,4.306405,,,0,
3236,,"THYM",,50.856905,4.303529,,,0,
3237,,"PARC",,50.847651,4.363550,,,0,
3238,,"CONDOR",,50.852395,4.307222,,,0,
3239,,"CONDOR",,50.852694,4.307324,,,0,
3240,,"OPTIMISME",,50.862106,4.409167,,,0,
3244,,"ALBERT II",,50.857532,4.356298,,,0,
3245,,"WTC",,50.861313,4.356188,,,0,
3246,,"BOTANIQUE",,50.853156,4.366166,,,0,
3252,,"TAMARIS",,50.850913,4.307675,,,0,
3253,,"GARE DE L'OUEST",,50.848843,4.321694,,,0,
3253F,,"GARE DE L'OUEST",,50.848843,4.321708,,,0,
3257,,"QUATRE-VENTS",,50.849177,4.326010,,,0,
3257F,,"QUATRE-VENTS",,50.849186,4.326010,,,0,
3259C,,"PORTE DE NINOVE",,50.850470,4.338788,,,0,
3260,,"PORTE DE FLANDRE",,50.852788,4.342186,,,0,
